user_id,skill_name,correct
495,77,0
495,77,0
495,77,0
495,77,0
594,1,1
835,56,1
835,75,0
835,75,1
835,76,1
835,2,0
835,2,0
835,2,0
835,2,1
835,77,0
835,77,0
835,77,0
835,77,0
835,77,1
594,3,0
594,3,0
594,3,0
567,56,1
684,48,0
567,75,1
378,56,1
684,48,0
684,48,0
378,75,0
378,75,1
378,76,1
378,2,0
378,2,1
378,77,0
47,3,0
378,77,1
47,3,0
594,3,0
567,76,0
567,76,1
567,2,0
567,2,0
567,2,1
594,3,0
47,79,0
47,79,1
835,1,1
378,3,0
378,3,0
378,3,0
594,3,0
594,3,1
835,3,0
510,56,1
835,3,0
510,75,1
510,76,1
835,3,0
510,2,1
835,3,1
510,77,0
510,77,0
510,77,0
510,77,0
510,77,0
510,77,0
510,77,0
510,77,0
510,77,0
594,11,1
510,77,1
835,11,1
274,56,1
835,79,1
510,1,0
510,1,1
274,75,1
274,76,1
274,2,1
510,3,0
510,3,1
805,56,1
805,75,1
805,76,1
805,2,1
805,77,0
805,77,0
805,77,0
805,77,0
805,77,0
805,77,0
805,77,0
805,77,1
373,56,1
373,75,1
373,76,1
373,2,1
373,77,0
766,1,0
373,77,0
373,77,0
766,1,1
373,77,0
373,77,0
373,77,0
373,77,0
373,77,0
373,77,0
766,79,0
766,79,0
766,79,0
766,79,1
766,81,0
766,3,0
766,3,0
766,3,0
522,56,1
522,75,0
522,75,1
522,76,1
522,2,1
47,11,1
522,77,0
522,77,0
522,77,0
47,3,0
47,3,0
457,56,1
457,75,1
457,76,0
457,76,1
457,77,0
457,77,0
47,80,0
47,80,0
47,81,0
47,13,0
47,13,1
47,13,0
47,13,0
47,12,0
350,56,1
47,80,0
373,1,0
373,1,0
373,1,1
832,56,1
832,75,1
29,56,1
29,75,1
29,76,1
29,2,1
344,47,0
344,47,0
344,47,1
344,47,0
344,47,0
344,47,0
344,47,1
344,48,1
630,56,1
630,75,1
630,2,0
344,49,1
630,2,0
344,50,1
630,2,0
344,50,0
344,50,0
402,56,1
344,50,1
229,56,1
195,56,1
195,75,0
195,75,1
568,75,1
568,76,0
568,76,1
568,2,0
568,2,0
568,2,0
568,2,0
568,2,0
495,77,0
168,56,1
495,77,0
98,56,1
98,75,1
98,76,1
98,2,0
98,2,1
98,77,0
98,77,0
98,77,0
98,77,0
98,77,0
168,79,1
168,13,0
168,13,1
445,56,1
18,56,1
445,75,0
445,75,1
18,75,1
18,76,1
18,2,1
18,77,0
18,77,0
18,77,0
445,76,0
445,76,1
18,77,1
445,2,1
445,77,0
445,77,0
445,77,0
445,77,0
445,77,0
59,56,1
445,77,0
445,77,1
59,75,1
59,76,1
59,2,1
59,77,0
59,77,0
59,77,0
59,77,1
682,56,1
682,75,1
69,56,1
69,75,1
733,56,1
93,56,1
93,75,0
93,75,1
93,76,0
93,76,1
93,2,1
93,77,0
93,77,0
303,56,1
93,77,0
93,77,0
93,77,0
93,77,0
303,75,0
303,75,1
93,77,0
93,77,0
93,77,0
93,77,0
93,77,0
537,56,1
537,75,1
537,76,1
537,2,1
537,77,0
93,1,0
93,1,0
537,77,0
537,77,0
537,77,0
537,77,0
93,1,0
537,77,0
93,1,0
537,77,1
93,1,0
93,1,1
93,77,0
93,77,1
93,3,0
93,3,0
93,3,0
814,45,0
93,3,0
93,3,0
814,45,0
93,11,1
814,95,1
93,79,1
817,56,1
817,75,0
817,75,0
817,76,1
814,86,0
817,2,1
291,56,1
817,77,0
817,77,0
291,75,0
817,77,0
291,75,1
291,76,1
93,80,0
814,86,1
93,80,0
291,2,1
291,77,0
291,77,0
291,77,0
291,77,0
291,77,0
93,80,0
291,77,0
688,56,1
688,75,1
51,3,0
51,3,0
688,76,1
93,80,0
93,80,1
688,2,1
688,77,0
688,77,0
688,77,0
688,77,0
504,77,0
504,77,0
504,77,1
93,81,1
93,13,1
259,3,0
504,2,1
74,56,1
74,75,1
259,3,0
274,77,0
29,77,0
274,77,0
29,77,0
274,77,1
